epoch,training loss,validation loss
0,0.08628117633634247,0.00632028364634607
1,0.056781662369758124,0.00628063111071242
2,0.05655779720109422,0.006293776928941952
3,0.056396230993414065,0.006340735188132385
4,0.05624203820480034,0.006498875613033306
5,0.055999380707362434,0.006233742256881669
6,0.05568703571043443,0.006201930329552852
7,0.05534811961842934,0.006164392780192429
8,0.0550158536498202,0.006120752266724594
9,0.054646113250782946,0.006091490122344112
10,0.054206522941967705,0.006079396713175811
11,0.053785719130246434,0.006087081586883869
12,0.053472866013180465,0.006115262844105018
13,0.0532564846216701,0.0060351722822815645
14,0.05308751327902428,0.005952551295195008
15,0.05295499860949349,0.00594215794626507
16,0.05285252261091955,0.005970706464722753
17,0.05273336567552178,0.005986442927678581
18,0.05261676044392516,0.005963217445241753
19,0.05251590190891875,0.00593328657123493
